Name,Link,Likes,Dislikes,Views,Published
Epic Added *INSTANT* MAX SHIELD Spots! (VERY Broken!) - Fortnite Battle Royale Trick,https://www.youtube.com/watch?v=unpZSWvzoIo,155,156,181551,"Nov 25, 2019"
Unlucky vs Funny vs Lucky Streamers Reaction in Fortnite Chapter 2 | Episode 3,https://www.youtube.com/watch?v=lgvSqjrlABY,40,41,16925,"Nov 25, 2019"
*200IQ* FISHING ROD PLAY!! - Fortnite Funny Fails and WTF Moments! #752,https://www.youtube.com/watch?v=cpNXdWIf-D8,246,247,246679,"Nov 25, 2019"
فورت نايت : سكواد عشوائي ! 😂 | Fortnite,https://www.youtube.com/watch?v=NMYLixCSZ6A,1211,1212,844823,"Nov 25, 2019"
STREAMERS USING *NEW* HEAVY AR (GOLD AK) BACK in Fortnite! (GAMEPLAY),https://www.youtube.com/watch?v=GKlrAmQD7ck,1096,1097,418326,"Nov 21, 2019"
We Glitched this Unreleased Gun in Fortnite... (NEW AK),https://www.youtube.com/watch?v=6y9XawMmcb4,753,754,1721014,"Nov 22, 2019"
FORTNITE FAILS & Epic Wins! #87 (Fortnite Battle Royale Funny Moments),https://www.youtube.com/watch?v=NBgbexqro_U,673,674,1154741,"Nov 22, 2019"
Fortnite WTF Moments #88 (Chapter 2),https://www.youtube.com/watch?v=QZdLBrVpZHY,39,40,52155,"Nov 25, 2019"
How we WON BACK to BACK against PRO PLAYERS in Fortnite...,https://www.youtube.com/watch?v=j82ItMMOS48,136,137,145519,"Nov 23, 2019"
12 minutes of the UNLUCKIEST clips I've ever seen in Fortnite,https://www.youtube.com/watch?v=Ji6Gy2Cu1j4,150,151,365402,"Nov 20, 2019"
Winning in Duos with My Girlfriend! (Fortnite Battle Royale),https://www.youtube.com/watch?v=eZq_i7a1dyk,174,175,206799,"Streamed live on Nov 24, 2019"
High Kill Solo Squads Win Gameplay Full Game (Fortnite Chapter 2 Ps4 Controller),https://www.youtube.com/watch?v=a1Ecky-JdsY,118,119,177151,"Nov 22, 2019"
NOOB vs PRO vs HACKER - Fortnite Battle Royale,https://www.youtube.com/watch?v=aDciBn0-Ems,622,623,389070,"Nov 23, 2019"
Fortnite Funny and Daily Best Moments Ep.  1426,https://www.youtube.com/watch?v=VAH07BDUvfQ,225,226,242702,"Nov 22, 2019"
BIG CHUGGUS ORIGIN STORY! (A Fortnite Short Film),https://www.youtube.com/watch?v=xSmHKAiXUSg,101,102,184387,"Nov 23, 2019"
Fortnite,https://www.youtube.com/watch?v=SlosOFRi1XA&list=RDQMf0hC_4AudBs&start_radio=1,77972,3040,10082224,"Mar 25, 2018"
STAR WARS in FORTNITE,https://www.youtube.com/watch?v=8azyScoUiGo,3764,3765,5860126,"Nov 15, 2019"
Skybase Memes But Its Fortnite China,https://www.youtube.com/watch?v=m-bqCuTVyiM,1331,1332,2525562,"Nov 19, 2019"
fortnite but it's very satisfying,https://www.youtube.com/watch?v=oz12RM8-d7M,1693,1694,2072410,"Nov 19, 2019"
*NEW* INSANE TELEPORT GLITCH!! - Fortnite Funny Fails and WTF Moments! #750,https://www.youtube.com/watch?v=KL2IkZqoORg,664,665,653797,"Nov 23, 2019"
NOOB vs PRO vs HACKER - Fortnite Battle Royale,https://www.youtube.com/watch?v=VmbOwPd3wLo,680,681,294375,"Nov 21, 2019"
i drowned and spectated this amazing BUILDER in fortnite... (shocking),https://www.youtube.com/watch?v=u1CEDd92tnY,596,597,978550,"Nov 17, 2019"
FORTNITE FAILS & Epic Wins! #86 (Fortnite Battle Royale Funny Moments),https://www.youtube.com/watch?v=r0oT8vExgYI,633,634,1233947,"Nov 16, 2019"
Fortnite MEMES that hit harder than my ex girlfriend,https://www.youtube.com/watch?v=cKtTUF-5zSc,155,156,200355,"Nov 22, 2019"
MY FIRST WIN IN FORTNITE CHAPTER 2 (Fortnite: Battle Royale),https://www.youtube.com/watch?v=Z7LpsilLKUk,4496,4497,4531625,"Oct 16, 2019"
High Kill Solo Vs Squads Full Gameplay (Fortnite Chapter 2 Ps4 Controller),https://www.youtube.com/watch?v=1uC0CdRJsTM,144,145,184333,"Nov 19, 2019"
Fortnite WTF Moments #86 (Chapter 2),https://www.youtube.com/watch?v=S8ByPTzAtbo,116,117,171612,"Nov 23, 2019"
PERFECT TIMING COMPILATION #18 | Fortnite Chapter 2,https://www.youtube.com/watch?v=X1Ers29dp9I,167,168,121587,"Nov 21, 2019"
FORTNITE GAMEPLAY,https://www.youtube.com/watch?v=PWR_RFlzuRk&list=PL4niExRCQ4nJEPQ8WxaEjYBNLIYpOFAlO,261047,3381,5252807,"Nov 22, 2019"
Fortnite Funny and Daily Best Moments Ep. 1422,https://www.youtube.com/watch?v=C9DE33xR7ws,455,456,452852,"Nov 18, 2019"
"STREAMERS REACT to *NEW* ""RIFT FISH"" & MOBILITY BACK in Fortnite!",https://www.youtube.com/watch?v=yXdj75Qn5ns,374,375,134278,"Nov 24, 2019"
Ranking The Best Controller Players In The World! - Fortnite Battle Royale,https://www.youtube.com/watch?v=KjXxU1VkflU,192,193,148780,"Nov 24, 2019"
*NEW TRICK* SWIM 5X FASTER!! - Fortnite Funny Fails and WTF Moments! #751,https://www.youtube.com/watch?v=BAL3hNP7rWI,767,768,654840,"Nov 24, 2019"
Fortnite MEMES I watch while camping,https://www.youtube.com/watch?v=_vvfnEsjFx0,1218,1219,1092856,"Nov 21, 2019"
New Ninja Lizard Skin! (Fortnite Battle Royale),https://www.youtube.com/watch?v=9tUSpbF9qWo,170,171,225486,"Streamed live on Nov 23, 2019"
Every time i die my CONTROLLER gets WORSE in Fortnite,https://www.youtube.com/watch?v=qE-cQIVYCvA,760,761,995807,"Oct 5, 2019"
"*NEW* CHRISTMAS UPDATE in Fortnite! (Skins, Presents + MORE)",https://www.youtube.com/watch?v=_aOFCZyqBTI,1535,1536,1218279,"Nov 22, 2019"
So I 1v1'd Ninja in Fortnite...,https://www.youtube.com/watch?v=wLpJHXugo0Y,1581,1582,2069552,"Nov 14, 2019"
Fortnite WTF Moments #87 (Chapter 2),https://www.youtube.com/watch?v=jmEkwPFEyr8,121,122,156897,"Nov 24, 2019"
Fortnite WTF Moments #87 (Chapter 2),https://www.youtube.com/watch?v=jmEkwPFEyr8,121,122,156897,"Nov 24, 2019"
*UNLIMITED* LEGENDARY LOOT TRICK!! - Fortnite Funny Fails and WTF Moments! #746,https://www.youtube.com/watch?v=IrpeYweWq1I,830,831,597839,"Nov 19, 2019"
31 KILLS SOLO SQUAD ON CONTROLLER ! FORTNITE CHAPTER 2,https://www.youtube.com/watch?v=fLfOo1Bc7vE,263,264,305195,"Nov 15, 2019"
Fortnite WTF Moments #85 (Chapter 2),https://www.youtube.com/watch?v=8eFek5IMP2c,54,55,83828,"Nov 21, 2019"
The INVISIBLE GLITCH in Fortnite,https://www.youtube.com/watch?v=Asx_RlDT1JE,2701,2702,6027746,"Nov 6, 2019"
*NEW* Harpoon Gun in Fortnite! (epic),https://www.youtube.com/watch?v=Eg_q0bRjcK4,662,663,1595871,"Nov 5, 2019"
Top 10 Fortnite Skins INSPIRED From REAL MOVIES! (Frozen 2 & More),https://www.youtube.com/watch?v=Vh5ZJxem3WY,270,271,327412,"Nov 23, 2019"
New SLURP MONSTER Skin! (Fortnite Battle Royale),https://www.youtube.com/watch?v=N0TgCRc-dnU,196,197,282776,"Streamed live on Nov 21, 2019"
KNOCKING WHOLE TEAMS IN FNCS WEEK 3! (Fortnite: Battle Royale),https://www.youtube.com/watch?v=iaeG8Mger5I,551,552,647152,"Nov 21, 2019"
"STREAMERS REACT TO *NEW* ""SLUSH SLINGER"" & *FREE* MYTHIC PICKAXE in Fortnite!",https://www.youtube.com/watch?v=YTdpvqDsTWo,441,442,230724,"Nov 22, 2019"
PINK GHOUL = PINK WEAPONS ONLY CHALLENGE - Fortnite Battle Royale,https://www.youtube.com/watch?v=T5Adgn3fhd4,1178,1179,2184564,"Nov 14, 2019"
*NEW* INSANE BRIDGE TRAP TROLL!! - Fortnite Funny Fails and WTF Moments! #739,https://www.youtube.com/watch?v=mYkk24dHhbw,806,807,897104,"Nov 12, 2019"
FORTNITE FAILS & Epic Wins! #76 (Fortnite Battle Royale Funny Moments),https://www.youtube.com/watch?v=cTBLEu7e-hY,1597,1598,3214422,"Sep 6, 2019"
ALL I DO IS THROW! (Fortnite: Battle Royale),https://www.youtube.com/watch?v=E_SUa4Td3Pk,821,822,774640,"Nov 17, 2019"
I used DOUBLE PUMP in Chapter 2 and it WORKED... (Fortnite Season 11),https://www.youtube.com/watch?v=xWLB1vz_oAk,1432,1433,460944,"Nov 11, 2019"
Bugha GETS *WORLD RECORD* in SOLO ARENA! (Fortnite Chapter 2),https://www.youtube.com/watch?v=EXwzrCciuMQ,226,227,67163,"Nov 19, 2019"
FORTNITE FAILS & Epic Wins! #85 (Fortnite Battle Royale Funny Moments),https://www.youtube.com/watch?v=2_KqYlWz-iU,1038,1039,1786059,"Nov 8, 2019"
FORTNITE *SEASON 11* LIVE EVENT!! (Fortnite Battle Royale),https://www.youtube.com/watch?v=8oawro0a0Dk,14931,14932,20203807,"Streamed live on Oct 13, 2019"
i drowned in fortnite,https://www.youtube.com/watch?v=fA5AA7jW3pQ,3716,3717,5936342,"Nov 11, 2019"
I've been Banned from Fortnite (I'm Sorry),https://www.youtube.com/watch?v=iN3ttHug-BU,192130,192131,11507313,"Nov 3, 2019"
How To Beat Tryhards In Fortnite Season 11,https://www.youtube.com/watch?v=EzANfRzOwXk,63,64,98524,"Nov 23, 2019"
*INSANE* 1509M WORLD RECORD KILL!! - Fortnite Funny Fails and WTF Moments! #743,https://www.youtube.com/watch?v=309vQsGKpSo,1769,1770,1827569,"Nov 16, 2019"
MES PREMIERS MOMENTS AVEC LEBOUSEUH SUR FORTNITE,https://www.youtube.com/watch?v=CJT6jwMb-pI,97,98,79457,"Nov 25, 2019"
*NEW* HOMING MISSILES?! - Fortnite Funny and Daily Best Moments Ep. 1427,https://www.youtube.com/watch?v=Hbp9fz7joSc,128,129,151946,"Nov 23, 2019"
High Kill Solo Win Aggressive Gameplay Full Game (Fortnite Ps4 Controller),https://www.youtube.com/watch?v=XJnJA7MRxjs,1250,1251,1551247,"Jul 5, 2019"
13 Minutes of Fortnite Players Having 200 IQ,https://www.youtube.com/watch?v=daHx2QwGPZw,1141,1142,2321499,"Oct 8, 2019"
Epic SECRETLY Made a *BIG* Change To Cones Last Patch... (Fortnite Battle Royale),https://www.youtube.com/watch?v=85ET4YSenM0,343,344,550348,"Nov 21, 2019"
My First 20 Bomb in Fortnite Chapter 2!,https://www.youtube.com/watch?v=gEbvP0qWVak,1478,1479,1940980,"Oct 25, 2019"
Fortnite Funny and Daily Best Moments Ep. 1418,https://www.youtube.com/watch?v=v4TL4mJ1Fok,259,260,338723,"Nov 12, 2019"
*NEW* HARPOON GUN In Fortnite! (Pretty Epic),https://www.youtube.com/watch?v=9vuTF5_zWeg,660,661,1462318,"Nov 5, 2019"
FORTNITE FAILS & Epic Wins! #80 (Fortnite Battle Royale Funny Moments),https://www.youtube.com/watch?v=fBP7Z4vKgc0,822,823,1627567,"Oct 4, 2019"
I Trained Like A Fortnite Pro For A Week And This Is What Happened,https://www.youtube.com/watch?v=GA-9oNSjIWg,398,399,644197,"Nov 18, 2019"
We Dropped *41 ELIMS* IN A PRO TOURNAMENT GAME! (World Record?) - Fortnite Battle Royale,https://www.youtube.com/watch?v=r6fhc6XJSkw,145,146,310178,"Nov 16, 2019"
Fortnite World Cup Finals - Day 1,https://www.youtube.com/watch?v=Gkrsn3k2u9s,9006,9007,8377096,"Streamed live on Jul 26, 2019"
WHAT on earth is THIS in Fortnite!?,https://www.youtube.com/watch?v=_M4yQzHFDxI,1824,1825,766028,"Nov 18, 2019"
This is the *NEW* BEST Shotgun in Fortnite... (it finally happened),https://www.youtube.com/watch?v=M7z_GsEpcqY,236,237,220042,"Nov 18, 2019"
Fortnite Zone Wars IS BACK!,https://www.youtube.com/watch?v=lWCjMvombKk,953,954,1510266,"Nov 7, 2019"
Top 10 Secrets YOU MISSED In Fortnite THE END EVENT! (Fortnite Season 11),https://www.youtube.com/watch?v=IEheO7_PHMI,4346,4347,3390700,"Oct 13, 2019"
Raiding AREA 51 in FORTNITE,https://www.youtube.com/watch?v=A7ErrGUtmv0,5095,5096,7953761,"Sep 22, 2019"
FORTNITE CHAPTER 2 IS HERE! (very epic),https://www.youtube.com/watch?v=n_3VcTlJ-hI,1647,1648,2123826,"Oct 15, 2019"
Raiding AREA 51 in FORTNITE,https://www.youtube.com/watch?v=A7ErrGUtmv0,5095,5096,7953761,"Sep 22, 2019"
FORTNITE CHAPTER 2 IS HERE! (very epic),https://www.youtube.com/watch?v=n_3VcTlJ-hI,1647,1648,2123826,"Oct 15, 2019"
The Fortnite Rewind: Liquid Edition,https://www.youtube.com/watch?v=aqiaJ5PCefY,192,193,364603,"Premiered Nov 23, 2019"
*NEW* Fortnite SLIDE For LOOT Deathrun in Fortnite Battle Royale,https://www.youtube.com/watch?v=maaVWaY8wLI,2482,2483,2271872,"Nov 19, 2019"
The STORMTROOPER Challenge In Fortnite!,https://www.youtube.com/watch?v=IPkYZoV4fCs,820,821,705796,"Nov 20, 2019"
🔥NEW* SKYBASE AVEC LE NOUVEAU BUG 0 DEGAT DE CHUTE ! Fortnite Saison 11,https://www.youtube.com/watch?v=eTaJB76-CmM,131,132,97731,"Nov 24, 2019"
Fortnite 2 WTF Moments #9 (SEASON 1),https://www.youtube.com/watch?v=CZEKbiaZ0DU,129,130,231737,"Nov 2, 2019"
STREAMERS USE *NEW* SCOPED AR + AK BACK! *ALL* CHRISTMAS SKINS UNLOCKED! (Fortnite),https://www.youtube.com/watch?v=Mwfm3myCZSo,875,876,395401,"Nov 20, 2019"
All The *HUGE* Changes Epic LEFT OUT of the PATCH NOTES! (Fortnite Battle Royale),https://www.youtube.com/watch?v=8HT5uOi76jI,442,443,754972,"Nov 20, 2019"
*NEW TRICK* BUILD 90S FASTER!! - Fortnite Funny Fails and WTF Moments! #749,https://www.youtube.com/watch?v=MSa545BZXX8,767,768,961259,"Nov 22, 2019"
Fortnite Funny and Daily Best Moments Ep. 1423,https://www.youtube.com/watch?v=quGvqF5uKgE,270,271,364363,"Nov 19, 2019"
Using *ONLY* Fishing Loot to WIN Fortnite 2!,https://www.youtube.com/watch?v=iXKC_YVHPxY,1761,1762,3331519,"Oct 21, 2019"
LE PLUS BEAU SAUVETAGE SUR FORTNITE! (200IQ) 🔥 LE MEILLEUR DE FORTNITE #216,https://www.youtube.com/watch?v=Mc5iGePR91s,169,170,100243,"Nov 22, 2019"
FUI JOGAR FORTNITE E ENCONTREI O JOÃO CAETANO!!,https://www.youtube.com/watch?v=rTkz5zfph1o,678,679,532781,"Nov 23, 2019"
Epic ACCIDENTALLY Added AIMBOT to Fortnite..,https://www.youtube.com/watch?v=S1L5le8c3NE,712,713,1335040,"Oct 3, 2019"
Fortnite Chapter 2: ROCKET LAUNCH EVENT SEASON 10 FORTNITE LIVE!,https://www.youtube.com/watch?v=W2dnWmd_AnQ,3631,3632,7222538,"Streamed live on Oct 13, 2019"
I spectated Fortnite CHINA players... I WAS SHOCKED!,https://www.youtube.com/watch?v=tG7czamLnmI,589,590,565569,"Nov 19, 2019"
*WEIRDEST* SUPPLY DROP OF ALL TIME!! - Fortnite Funny Fails and WTF Moments! #741,https://www.youtube.com/watch?v=8ctKq_5JS_I,589,590,690378,"Nov 14, 2019"
*NEW TRICK* SEE THROUGH ANY WALL!! - Fortnite Funny Fails and WTF Moments! #728,https://www.youtube.com/watch?v=fWz575o1d8U,774,775,1066894,"Nov 1, 2019"
I Got EARLY ACCESS to The *NEW* Heavy AR! (New Best AR!?) - Fortnite Battle Royale,https://www.youtube.com/watch?v=MpBFLc1l2YA,470,471,613896,"Nov 22, 2019"
FORTNITE FAILS & Epic Wins! #73 (Fortnite Battle Royale Funny Moments),https://www.youtube.com/watch?v=VPVZdDIMZIc,761,762,1617470,"Aug 17, 2019"
Fortnite Chapter 2 - Victory Royale Gameplay,https://www.youtube.com/watch?v=9_i57_Db6JE,1118,1119,377374,"Oct 15, 2019"
The REAL Reason Controller L2 Aim Assist Is REMOVED! (Fortnite Battle Royale),https://www.youtube.com/watch?v=AwMyIBhhT0I,302,303,371915,"Sep 25, 2019"
FORTNITE THUG LIFE: Funny Moments EP. 87 (Fortnite Battle Royale Epic Wins & Fails),https://www.youtube.com/watch?v=gsnrOiSjIAA,26,27,34758,"Nov 22, 2019"
1 KILL = 1 VETEMENT AVEC MA COPINE ! (Fortnite Battle Royale Chapitre 2),https://www.youtube.com/watch?v=laXO5tT6uEE,260,261,71210,"Nov 23, 2019"
Epic ACCIDENTALLY Brought Back This ZERO Fall Damage Glitch! (Fortnite Battle Royale),https://www.youtube.com/watch?v=FE-6c5eigeg,265,266,476146,"Nov 18, 2019"
*NEW* MEGA CAMPFIRE IS INSANE!! - Fortnite Funny Fails and WTF Moments! #748,https://www.youtube.com/watch?v=rg1SY58YwAY,593,594,740661,"Nov 21, 2019"
FORTNITE FAILS & Epic Wins! #77 (Fortnite Battle Royale Funny Moments),https://www.youtube.com/watch?v=hUyS5FRHaQA,607,608,1247301,"Sep 15, 2019"
The END OF FORTNITE!,https://www.youtube.com/watch?v=LUaj6MrfBsU,2142,2143,2341355,"Oct 9, 2019"
NEW MAP! - FORTNITE CHAPTER 2 LIVE Gameplay (Season 11),https://www.youtube.com/watch?v=2KcRi38dipw,1558,1559,2153852,"Streamed live on Oct 15, 2019"
Fortnite World Cup Finals - Day 2,https://www.youtube.com/watch?v=31HqRnWrg3Y,6416,6417,7505616,"Streamed live on Jul 27, 2019"
FORTNITE FAILS & Epic Wins! #78 (Fortnite Battle Royale Funny Moments),https://www.youtube.com/watch?v=yFu81lzlRis,727,728,1143566,"Sep 20, 2019"
Voici ce qui se passe VRAIMENT dans le BUS FORTNITE...(c'est trop stylé),https://www.youtube.com/watch?v=KQhs5_PvpM4,491,492,184450,"Nov 23, 2019"
FORTNITE BLACK HOLE EVENT LIVE!! New Season 11 Battle Pass & Map Leaked! (Fortnite Battle Royale),https://www.youtube.com/watch?v=xsceuOfHM2w,4200,4201,4732835,"Streamed live on Oct 14, 2019"
The MOST TOXIC GIRL to ever play Fortnite,https://www.youtube.com/watch?v=YBgLM01BQWo,592,593,1263178,"Oct 10, 2019"
Streamers REACT To GREASY GROVE *BACK* + MOISTY PALMS *NEW* LOCATION! (Fortnite UPDATE),https://www.youtube.com/watch?v=XS76o5rEOrQ,589,590,266902,"Sep 11, 2019"
Fortnite World Cup Duos Finals - Day 2,https://www.youtube.com/watch?v=MEwotTbMtg0,892,893,1133165,"Streamed live on Jul 27, 2019"
Fortnite Funny and Daily Best Moments Ep. 1415,https://www.youtube.com/watch?v=R5bxL5_CyWU,249,250,316272,"Nov 9, 2019"
This 9 Year Old CARRIED Me in Fortnite,https://www.youtube.com/watch?v=tiuSEaCT90o,470,471,678572,"Sep 13, 2019"
Streamers *HEARTBROKEN* after *TURBO BUILDING NERFED* in Fortnite Season 10 Update! (RIP FORTNITE),https://www.youtube.com/watch?v=HMieYat6QTw,5760,5761,1048217,"Aug 27, 2019"
BATMAN in FORTNITE,https://www.youtube.com/watch?v=pmWZcZ2HfS0,849,850,2070493,"Sep 21, 2019"
🔴 SOLOS / PC CONTROLLER / 3800+ WINS FORTNITE BATTLE ROYALE,https://www.youtube.com/watch?v=8tmJFkrfohk,23,24,16840,"Streamed live on Nov 24, 2019"
Every time i die i Switch CONSOLE in Fortnite,https://www.youtube.com/watch?v=VFMMu1OG7PE,496,497,854138,"Oct 6, 2019"
16 minutes of streamers getting ANGRY at Fortnite,https://www.youtube.com/watch?v=zG-BD0JBuoA,134,135,215925,"Oct 7, 2019"
Top 5 Fortnite SEASON 11 Rumors YOU NEED TO KNOW!,https://www.youtube.com/watch?v=V1nPVe3LJfk,401,402,569511,"Oct 4, 2019"
Fortnite WTF Moments #83 (Chapter 2),https://www.youtube.com/watch?v=rpApv3zA1WA,142,143,230770,"Nov 14, 2019"
Only using my 1st guns I ever found on Fortnite!! (Old Fortnite),https://www.youtube.com/watch?v=PZTGpJwiebg,203,204,321639,"Nov 21, 2019"
*NEW TRICK* CATCH 2+ FISH AT ONCE!! - Fortnite Funny Fails and WTF Moments! #738,https://www.youtube.com/watch?v=zVWM43BbccY,706,707,989299,"Nov 11, 2019"
FORTNITE FAILS & Epic Wins! #65 (Fortnite Battle Royale Funny Moments),https://www.youtube.com/watch?v=TgomSwzFxak,583,584,1188938,"Jun 18, 2019"
FORTNITE FAILS & Epic Wins! #66 (Fortnite Battle Royale Funny Moments),https://www.youtube.com/watch?v=8fvp-eRpDkk,628,629,1329866,"Jun 22, 2019"
FORTNITE FAILS & Epic Wins! #75 (Fortnite Battle Royale Funny Moments),https://www.youtube.com/watch?v=QjtFfTNC5HY,950,951,1789209,"Aug 30, 2019"
FORTNITE FAILS & Epic Wins! #67 (Fortnite Battle Royale Funny Moments),https://www.youtube.com/watch?v=9jLuvk10iic,1677,1678,3178148,"Jun 29, 2019"
TOP 500 FUNNIEST FAILS IN FORTNITE,https://www.youtube.com/watch?v=6sMEs31W3-E,2582,2583,8049877,"Jun 8, 2019"
*WORLD RECORD* 97 KILLS IN 8 SECONDS!! – Fortnite Fails and WTF Moments! #618,https://www.youtube.com/watch?v=UXtg5Siajqg,5290,5291,7135101,"Jul 14, 2019"
Fortnite World Cup Solos Finals - Day 3,https://www.youtube.com/watch?v=XkREq7JM4PQ,1233,1234,1686964,"Streamed live on Jul 28, 2019"
epic fortnite chapter 2 moments,https://www.youtube.com/watch?v=ei_Ccre9c_Y,2710,2711,4255342,"Oct 15, 2019"
This 10 YEAR OLD is the BEST Fortnite player I EVER met... (he should be a PRO!),https://www.youtube.com/watch?v=oGnVt__MdZk,1251,1252,714552,"Sep 14, 2019"
WORLD RECORD 38 KILLS FORTNITE CHAPTER 2,https://www.youtube.com/watch?v=h2FpJeAu2fA,1500,1501,1618451,"Oct 17, 2019"
Fortnite - Perfect Timing Moments #65 (Chapter 2),https://www.youtube.com/watch?v=splUUkMND-s,328,329,367120,"Nov 23, 2019"
The *NEW* Combine WORLD RECORD In Fortnite!,https://www.youtube.com/watch?v=1IUHH-p3H_Q,1317,1318,1407507,"Sep 25, 2019"
Fortnite World Cup Finals - Day 3,https://www.youtube.com/watch?v=2xG1Umugpxs,17717,17718,13327135,"Streamed live on Jul 28, 2019"
LES MEILLEURS MOMENTS AVEC LES BOTS SUR FORTNITE BATTLE ROYALE !,https://www.youtube.com/watch?v=DIGZ6nbaNzE,61,62,47025,"Nov 22, 2019"
FORTNITE FAILS & Epic Wins! #74 (Fortnite Battle Royale Funny Moments),https://www.youtube.com/watch?v=xwlJU4j6EmY,1060,1061,1806407,"Aug 24, 2019"
FORTNITE FAILS & Epic Wins! #82 (Fortnite Battle Royale Funny Moments),https://www.youtube.com/watch?v=56lzi_5_DQY,1139,1140,2087974,"Oct 18, 2019"
i did what Ghost Aydan did that got him BANNED in fortnite... (not good),https://www.youtube.com/watch?v=avwzObxol18,523,524,505616,"Oct 2, 2019"
"Streamers React to *NEW* CUSTOM ""DEFAULT SKIN"" PICKER in Fortnite Season 10!",https://www.youtube.com/watch?v=fx93jz2aKgo,1246,1247,456442,"Aug 22, 2019"
15 Minutes Of The FUNNIEST FAILS In Fortnite,https://www.youtube.com/watch?v=jjWhgqxly98,585,586,1389140,"Sep 13, 2019"
*NEW* LEGENDARY Revolver in Fortnite!,https://www.youtube.com/watch?v=iAIAsbZo__Y,1766,1767,3077285,"Jun 25, 2019"
STREAMERS REACT TO THE END OF FORTNITE! (Fortnite: Battle Royale),https://www.youtube.com/watch?v=C16qBVKDXeM,489,490,796347,"Oct 13, 2019"
JE VOUS DÉVOILE MON CASIER D'UNE VALEUR DE 2500€ SUR FORTNITE !!,https://www.youtube.com/watch?v=ZzPteGhUA5Q,183,184,111771,"Nov 23, 2019"
NICK EH 30 *SCARED* almost BANNED during LIVE EVENT! (Fortnite),https://www.youtube.com/watch?v=kRUh0tDXuQ8,712,713,198765,"Nov 22, 2019"
