Name,Link,Likes,Dislikes,Views,Published
"1 Elim = 1,000 *FREE* VBucks in Fortnite!",https://www.youtube.com/watch?v=12VyQRTLV_A,639,640,420383,"Nov 25, 2019"
50 STAGE Slide For LOOT (Fortnite),https://www.youtube.com/watch?v=eRL1cR-Jjp8,895,896,489329,"Nov 26, 2019"
Epic Added *INSTANT* MAX SHIELD Spots! (VERY Broken!) - Fortnite Battle Royale Trick,https://www.youtube.com/watch?v=unpZSWvzoIo,214,215,293966,"Nov 25, 2019"
THE BEST SNIPERS IN FORTNITE!,https://www.youtube.com/watch?v=2BsJM-d3h4c,252,253,572359,"Nov 25, 2019"
How we WON BACK to BACK against PRO PLAYERS in Fortnite...,https://www.youtube.com/watch?v=j82ItMMOS48,137,138,148602,"Nov 23, 2019"
*200IQ* FISHING ROD PLAY!! - Fortnite Funny Fails and WTF Moments! #752,https://www.youtube.com/watch?v=cpNXdWIf-D8,339,340,472814,"Nov 25, 2019"
We Glitched this Unreleased Gun in Fortnite... (NEW AK),https://www.youtube.com/watch?v=6y9XawMmcb4,775,776,1790154,"Nov 22, 2019"
*NEW* SECRET BUNKER!! - Fortnite Funny and Daily Best Moments Ep. 1429,https://www.youtube.com/watch?v=9jCRRnlpizY,145,146,125000,"Nov 25, 2019"
6 Settings for INSTANT FPS Improvement in Fortnite Chapter 2,https://www.youtube.com/watch?v=SRSBJcagSgQ,49,50,27924,"Nov 26, 2019"
STREAMERS USING *NEW* HEAVY AR (GOLD AK) BACK in Fortnite! (GAMEPLAY),https://www.youtube.com/watch?v=GKlrAmQD7ck,1101,1102,421877,"Nov 21, 2019"
FORTNITE FAILS & Epic Wins! #87 (Fortnite Battle Royale Funny Moments),https://www.youtube.com/watch?v=NBgbexqro_U,747,748,1247784,"Nov 22, 2019"
BUGHA *CALLS OUT* CLIX to 1v1 after BLAMING HIM for LOSING! (Fortnite),https://www.youtube.com/watch?v=AoO9-uzuTa0,267,268,98499,"Nov 25, 2019"
Ranking The Best Controller Players In The World! - Fortnite Battle Royale,https://www.youtube.com/watch?v=KjXxU1VkflU,223,224,173373,"Nov 24, 2019"
High Kill Solo Squads Win Gameplay Full Game (Fortnite Chapter 2 Ps4 Controller),https://www.youtube.com/watch?v=a1Ecky-JdsY,122,123,185726,"Nov 22, 2019"
STAR WARS in FORTNITE,https://www.youtube.com/watch?v=8azyScoUiGo,3769,3770,5877877,"Nov 15, 2019"
Fortnite,https://www.youtube.com/watch?v=dV-53VpkCXQ&list=RDQMf0hC_4AudBs&start_radio=1,75958,4714,6110506,"Jun 24, 2018"
fortnite but it's very satisfying,https://www.youtube.com/watch?v=oz12RM8-d7M,1710,1711,2094263,"Nov 19, 2019"
NOOB vs PRO vs HACKER - Fortnite Battle Royale,https://www.youtube.com/watch?v=aDciBn0-Ems,775,776,485651,"Nov 23, 2019"
Winning in Duos with My Girlfriend! (Fortnite Battle Royale),https://www.youtube.com/watch?v=eZq_i7a1dyk,187,188,237327,"Streamed live on Nov 24, 2019"
*NEW TRICK* SWIM 5X FASTER!! - Fortnite Funny Fails and WTF Moments! #751,https://www.youtube.com/watch?v=BAL3hNP7rWI,821,822,719431,"Nov 24, 2019"
i drowned and spectated this amazing BUILDER in fortnite... (shocking),https://www.youtube.com/watch?v=u1CEDd92tnY,601,602,984821,"Nov 17, 2019"
12 minutes of the UNLUCKIEST clips I've ever seen in Fortnite,https://www.youtube.com/watch?v=Ji6Gy2Cu1j4,156,157,395613,"Nov 20, 2019"
FORTNITE FAILS & Epic Wins! #86 (Fortnite Battle Royale Funny Moments),https://www.youtube.com/watch?v=r0oT8vExgYI,638,639,1240655,"Nov 16, 2019"
NOOB vs PRO vs HACKER - Fortnite Battle Royale,https://www.youtube.com/watch?v=VmbOwPd3wLo,703,704,304997,"Nov 21, 2019"
MY FIRST WIN IN FORTNITE CHAPTER 2 (Fortnite: Battle Royale),https://www.youtube.com/watch?v=Z7LpsilLKUk,4505,4506,4543183,"Oct 16, 2019"
High Kill Solo Vs Squads Full Gameplay (Fortnite Chapter 2 Ps4 Controller),https://www.youtube.com/watch?v=1uC0CdRJsTM,146,147,186635,"Nov 19, 2019"
Fortnite MEMES that hit harder than my ex girlfriend,https://www.youtube.com/watch?v=cKtTUF-5zSc,161,162,210596,"Nov 22, 2019"
MYTHIC GOLDFISH FISHING! (Fortnite Battle Royale),https://www.youtube.com/watch?v=KQA0Jk9QtF8,219,220,239341,"Streamed live on Nov 22, 2019"
Fortnite Funny and Daily Best Moments Ep. 1422,https://www.youtube.com/watch?v=C9DE33xR7ws,458,459,455856,"Nov 18, 2019"
Skybase Memes But Its Fortnite China,https://www.youtube.com/watch?v=m-bqCuTVyiM,1340,1341,2565306,"Nov 19, 2019"
CLIX vs MONGRAAL vs BUGHA! *MAX* BUILDING and EDITING SPEED in Fortnite!,https://www.youtube.com/watch?v=QeWr9E3MK4s,481,482,205669,"Nov 24, 2019"
High Kill Solo Squads Win Gameplay (Fortnite Chapter 2 Ps4 Controller),https://www.youtube.com/watch?v=pbLdTCQoY74,192,193,241654,"Nov 15, 2019"
Fortnite Funny and Daily Best Moments Ep.  1426,https://www.youtube.com/watch?v=VAH07BDUvfQ,226,227,245585,"Nov 22, 2019"
FORTNITE GAMEPLAY,https://www.youtube.com/watch?v=PWR_RFlzuRk&list=PL4niExRCQ4nJEPQ8WxaEjYBNLIYpOFAlO,265418,3506,5444117,"Nov 22, 2019"
Fortnite WTF Moments #87 (Chapter 2),https://www.youtube.com/watch?v=jmEkwPFEyr8,141,142,212489,"Nov 24, 2019"
So I 1v1'd Ninja in Fortnite...,https://www.youtube.com/watch?v=wLpJHXugo0Y,1585,1586,2073635,"Nov 14, 2019"
Every time i die my CONTROLLER gets WORSE in Fortnite,https://www.youtube.com/watch?v=qE-cQIVYCvA,767,768,1000143,"Oct 5, 2019"
Top 10 Fortnite Skins INSPIRED From REAL MOVIES! (Frozen 2 & More),https://www.youtube.com/watch?v=Vh5ZJxem3WY,305,306,394363,"Nov 23, 2019"
Nick Eh 30 SPECTATED ME and said THIS about me... (Fortnite Chapter 2),https://www.youtube.com/watch?v=QQQec0HkC8Q,253,254,313083,"Nov 24, 2019"
BIG CHUGGUS ORIGIN STORY! (A Fortnite Short Film),https://www.youtube.com/watch?v=xSmHKAiXUSg,113,114,210534,"Nov 23, 2019"
*NEW* INSANE TELEPORT GLITCH!! - Fortnite Funny Fails and WTF Moments! #750,https://www.youtube.com/watch?v=KL2IkZqoORg,678,679,675571,"Nov 23, 2019"
The INVISIBLE GLITCH in Fortnite,https://www.youtube.com/watch?v=Asx_RlDT1JE,2704,2705,6045393,"Nov 6, 2019"
*NEW* Harpoon Gun in Fortnite! (epic),https://www.youtube.com/watch?v=Eg_q0bRjcK4,662,663,1596467,"Nov 5, 2019"
31 KILLS SOLO SQUAD ON CONTROLLER ! FORTNITE CHAPTER 2,https://www.youtube.com/watch?v=fLfOo1Bc7vE,263,264,305741,"Nov 15, 2019"
Fortnite - Perfect Timing Moments #65 (Chapter 2),https://www.youtube.com/watch?v=splUUkMND-s,367,368,407285,"Nov 23, 2019"
New SLURP MONSTER Skin! (Fortnite Battle Royale),https://www.youtube.com/watch?v=N0TgCRc-dnU,199,200,286808,"Streamed live on Nov 21, 2019"
PINK GHOUL = PINK WEAPONS ONLY CHALLENGE - Fortnite Battle Royale,https://www.youtube.com/watch?v=T5Adgn3fhd4,1184,1185,2193372,"Nov 14, 2019"
ALL I DO IS THROW! (Fortnite: Battle Royale),https://www.youtube.com/watch?v=E_SUa4Td3Pk,823,824,782073,"Nov 17, 2019"
*UNLIMITED* LEGENDARY LOOT TRICK!! - Fortnite Funny Fails and WTF Moments! #746,https://www.youtube.com/watch?v=IrpeYweWq1I,832,833,599584,"Nov 19, 2019"
FORTNITE FAILS & Epic Wins! #76 (Fortnite Battle Royale Funny Moments),https://www.youtube.com/watch?v=cTBLEu7e-hY,1597,1598,3215258,"Sep 6, 2019"
I used DOUBLE PUMP in Chapter 2 and it WORKED... (Fortnite Season 11),https://www.youtube.com/watch?v=xWLB1vz_oAk,1434,1435,461668,"Nov 11, 2019"
FORTNITE FAILS & Epic Wins! #85 (Fortnite Battle Royale Funny Moments),https://www.youtube.com/watch?v=2_KqYlWz-iU,1044,1045,1797728,"Nov 8, 2019"
FORTNITE *SEASON 11* LIVE EVENT!! (Fortnite Battle Royale),https://www.youtube.com/watch?v=8oawro0a0Dk,14934,14935,20204720,"Streamed live on Oct 13, 2019"
Fortnite WTF Moments #86 (Chapter 2),https://www.youtube.com/watch?v=S8ByPTzAtbo,127,128,188822,"Nov 23, 2019"
*NEW* INSANE BRIDGE TRAP TROLL!! - Fortnite Funny Fails and WTF Moments! #739,https://www.youtube.com/watch?v=mYkk24dHhbw,806,807,898622,"Nov 12, 2019"
I've been Banned from Fortnite (I'm Sorry),https://www.youtube.com/watch?v=iN3ttHug-BU,192404,192405,11531046,"Nov 3, 2019"
i drowned in fortnite,https://www.youtube.com/watch?v=fA5AA7jW3pQ,3723,3724,5954438,"Nov 11, 2019"
KNOCKING WHOLE TEAMS IN FNCS WEEK 3! (Fortnite: Battle Royale),https://www.youtube.com/watch?v=iaeG8Mger5I,557,558,662730,"Nov 21, 2019"
Epic SECRETLY Made a *BIG* Change To Cones Last Patch... (Fortnite Battle Royale),https://www.youtube.com/watch?v=85ET4YSenM0,348,349,559358,"Nov 21, 2019"
TOP 100 EPIC MOMENTS IN FORTNITE,https://www.youtube.com/watch?v=vXV10Pt4-_g,472,473,674340,"Aug 1, 2019"
*INSANE* 1509M WORLD RECORD KILL!! - Fortnite Funny Fails and WTF Moments! #743,https://www.youtube.com/watch?v=309vQsGKpSo,1780,1781,1843566,"Nov 16, 2019"
Fortnite WTF Moments #86 (Chapter 2),https://www.youtube.com/watch?v=S8ByPTzAtbo,127,128,188822,"Nov 23, 2019"
PINK GHOUL = PINK WEAPONS ONLY CHALLENGE - Fortnite Battle Royale,https://www.youtube.com/watch?v=T5Adgn3fhd4,1184,1185,2193372,"Nov 14, 2019"
How To Beat Tryhards In Fortnite Season 11,https://www.youtube.com/watch?v=EzANfRzOwXk,65,66,103815,"Nov 23, 2019"
Using *ONLY* Fishing Loot to WIN Fortnite 2!,https://www.youtube.com/watch?v=iXKC_YVHPxY,1774,1775,3349362,"Oct 21, 2019"
13 Minutes of Fortnite Players Having 200 IQ,https://www.youtube.com/watch?v=daHx2QwGPZw,1142,1143,2326704,"Oct 8, 2019"
Epic SECRETLY Made a *BIG* Change To Cones Last Patch... (Fortnite Battle Royale),https://www.youtube.com/watch?v=85ET4YSenM0,348,349,559358,"Nov 21, 2019"
My First 20 Bomb in Fortnite Chapter 2!,https://www.youtube.com/watch?v=gEbvP0qWVak,1479,1480,1943285,"Oct 25, 2019"
*NEW TRICK* BUILD 90S FASTER!! - Fortnite Funny Fails and WTF Moments! #749,https://www.youtube.com/watch?v=MSa545BZXX8,813,814,1014618,"Nov 22, 2019"
Fortnite - Perfect Timing Moments #65 (Chapter 2),https://www.youtube.com/watch?v=splUUkMND-s,367,368,407485,"Nov 23, 2019"
Fortnite Funny and Daily Best Moments Ep. 1418,https://www.youtube.com/watch?v=v4TL4mJ1Fok,259,260,339476,"Nov 12, 2019"
*NEW* INSANE BRIDGE TRAP TROLL!! - Fortnite Funny Fails and WTF Moments! #739,https://www.youtube.com/watch?v=mYkk24dHhbw,806,807,898622,"Nov 12, 2019"
*NEW* NO FALL DAMAGE Using This WEIRD Trick! (Fix this Epic!) - Fortnite Battle Royale,https://www.youtube.com/watch?v=KoNiJNkrYAc,95,96,142811,"Nov 23, 2019"
Fortnite Zone Wars IS BACK!,https://www.youtube.com/watch?v=lWCjMvombKk,956,957,1512461,"Nov 7, 2019"
Every time i die my CONTROLLER gets WORSE in Fortnite,https://www.youtube.com/watch?v=qE-cQIVYCvA,767,768,1000143,"Oct 5, 2019"
Raiding AREA 51 in FORTNITE,https://www.youtube.com/watch?v=A7ErrGUtmv0,5097,5098,7960769,"Sep 22, 2019"
*NEW* HOMING MISSILES?! - Fortnite Funny and Daily Best Moments Ep. 1427,https://www.youtube.com/watch?v=Hbp9fz7joSc,129,130,155233,"Nov 23, 2019"
New Ninja Lizard Skin! (Fortnite Battle Royale),https://www.youtube.com/watch?v=9tUSpbF9qWo,169,170,232521,"Streamed live on Nov 23, 2019"
